1, 1, 593, 411, 865, 320, 286.819, 40, 0.754, 1
2, 1, 871, 315, 685, 320, 186.067, 40, 0.682, 1
3, 1, 695, 321, 865, 320, 170.003, 40, 0.658, 1
4, 1, 853, 331, 685, 320, 168.360, 40, 0.719, 1
5, 1, 701, 317, 685, 590, 273.468, 40, 0.718, 1
6, 1, 677, 593, 865, 320, 331.471, 40, 0.897, 1
7, 1, 867, 330, 775, 500, 193.298, 40, 0.643, 1
8, 1, 773, 481, 865, 410, 116.211, 40, 0.620, 1
9, 1, 870, 414, 595, 320, 290.622, 40, 0.710, 1
10, 1, 601, 321, 595, 590, 269.067, 40, 0.698, 1
11, 1, 577, 585, 595, 500, 86.885, 40, 0.563, 1
12, 1, 610, 500, 775, 500, 165.000, 40, 0.690, 1
13, 1, 759, 489, 865, 590, 146.414, 40, 0.662, 1
14, 1, 893, 594, 865, 500, 98.082, 40, 0.627, 1
15, 1, 869, 513, 775, 590, 121.511, 40, 0.652, 1
16, 1, 780, 591, 595, 500, 206.170, 40, 0.710, 1
17, 1, 595, 508, 595, 410, 98.000, 40, 0.698, 1
18, 1, 601, 421, 685, 410, 84.717, 40, 0.669, 1
19, 1, 667, 416, 865, 500, 215.081, 40, 0.719, 1
20, 1, 879, 514, 865, 590, 77.279, 40, 0.772, 1
21, 1, 871, 608, 685, 590, 186.869, 40, 0.773, 1
22, 1, 683, 586, 775, 410, 198.595, 40, 0.668, 1
23, 1, 767, 423, 595, 590, 239.735, 40, 0.703, 1
24, 1, 585, 589, 865, 320, 388.280, 40, 0.855, 1
25, 1, 879, 329, 865, 410, 82.201, 40, 0.569, 1
26, 1, 859, 412, 775, 500, 121.655, 40, 0.655, 1
27, 1, 763, 495, 595, 500, 168.074, 40, 0.750, 1
28, 1, 585, 499, 865, 500, 280.002, 40, 0.760, 1
29, 1, 869, 499, 865, 500, 4.123, 40, 0.674, 1
30, 1, 864, 505, 685, 320, 257.422, 40, 0.894, 1
31, 1, 686, 317, 595, 410, 130.115, 40, 0.683, 1
32, 1, 597, 419, 865, 410, 268.151, 40, 0.869, 1
33, 1, 867, 415, 775, 590, 197.709, 40, 0.674, 1
34, 1, 780, 581, 595, 500, 201.955, 40, 0.745, 1
35, 1, 605, 500, 775, 410, 192.354, 40, 0.631, 1
36, 1, 799, 389, 865, 410, 69.260, 40, 0.579, 1
37, 1, 881, 419, 865, 500, 82.565, 40, 0.607, 1
38, 1, 872, 483, 685, 410, 200.744, 40, 0.670, 1
39, 1, 707, 423, 775, 320, 123.422, 40, 0.592, 1
40, 1, 785, 295, 685, 320, 103.078, 40, 0.685, 1
41, 1, 699, 314, 595, 410, 141.534, 40, 0.604, 1
42, 1, 599, 407, 865, 320, 279.866, 40, 0.854, 1
43, 1, 867, 326, 595, 320, 272.066, 40, 0.883, 1
44, 1, 603, 327, 595, 320, 10.630, 40, 0.561, 1
45, 1, 580, 303, 685, 500, 223.235, 40, 0.779, 1
46, 1, 674, 500, 775, 590, 135.281, 40, 0.823, 1
47, 1, 755, 581, 775, 410, 172.166, 40, 0.000, 0
48, 1, 757, 584, 685, 410, 188.308, 40, 0.815, 1
49, 1, 686, 421, 685, 590, 169.003, 40, 0.701, 1
50, 1, 688, 575, 685, 590, 15.297, 40, 0.619, 1
51, 1, 684, 585, 685, 500, 85.006, 40, 0.569, 1
52, 1, 681, 504, 685, 320, 184.043, 40, 0.774, 1
53, 1, 694, 341, 595, 320, 101.203, 40, 0.682, 1
54, 1, 587, 321, 595, 320, 8.062, 40, 0.571, 1
55, 1, 601, 326, 775, 410, 193.215, 40, 0.795, 1
56, 1, 775, 431, 685, 500, 113.406, 40, 0.650, 1
57, 1, 665, 509, 685, 500, 21.932, 40, 0.446, 1
58, 1, 674, 505, 595, 500, 79.158, 40, 0.629, 1
59, 1, 579, 508, 865, 590, 297.523, 40, 0.699, 1
60, 1, 855, 599, 685, 590, 170.238, 40, 0.675, 1
61, 1, 692, 589, 775, 320, 281.514, 40, 0.778, 1
62, 1, 770, 330, 775, 410, 80.156, 40, 0.572, 1
63, 1, 774, 419, 865, 590, 193.706, 40, 0.712, 1
64, 1, 869, 576, 595, 590, 274.357, 40, 0.735, 1
65, 1, 593, 591, 865, 410, 326.719, 40, 0.744, 1
66, 1, 868, 421, 775, 320, 137.295, 40, 0.688, 1
67, 1, 770, 341, 595, 590, 304.345, 40, 0.890, 1
68, 1, 591, 603, 775, 320, 337.557, 40, 0.819, 1
69, 1, 777, 328, 775, 320, 8.246, 40, 0.527, 1
70, 1, 763, 319, 685, 410, 119.854, 40, 0.695, 1
71, 1, 679, 418, 865, 590, 253.338, 40, 0.823, 1
72, 1, 851, 591, 685, 410, 245.595, 40, 0.624, 1
73, 1, 690, 411, 595, 410, 95.005, 40, 0.604, 1
74, 1, 612, 418, 775, 590, 236.966, 40, 0.632, 1
75, 1, 772, 585, 775, 500, 85.053, 40, 0.614, 1
76, 1, 784, 489, 685, 500, 99.609, 40, 0.609, 1
77, 1, 681, 488, 775, 590, 138.708, 40, 0.642, 1
78, 1, 783, 597, 775, 500, 97.329, 40, 0.525, 1
79, 1, 768, 503, 595, 590, 193.644, 40, 0.598, 1
